Time_s,Probe1_Elevation_m,Probe2_Elevation_m,Probe3_Elevation_m
704.2,0.418375065485636,0.306788562138875,0.540765453179677
704.4,0.431152393976847,0.306788562138875,0.716241527398427
704.6,0.392805149714151,0.434394954045613,0.505524326165517
704.8,0.277436306635538,0.599434016545613,0.399519611199697
705,0.161574413935343,0.662657855351766,0.340432811578115
705.2,0.0452166105906162,0.750935672124227,0.233743358453115
705.4,-0.0586242173512783,1.00164520581563,0.0668913610776265
705.6,-0.11069483502706,1.3242636903127,0.174273181756337
705.8,-0.175916621526083,1.66759598096212,0.233743358453115
706,-0.202049205144247,1.82557976086934,0.126604724725087
706.2,-0.175916621526083,1.80132973035177,0.245615650018056
706.4,-0.123723933537802,1.75277817090352,0.517275501092275
706.6,-0.0586242173512783,1.67977821667989,0.855749774773916
706.8,0.0322609450022373,1.66759598096212,1.02908198912938
707,0.135761311213175,1.67977821667989,1.06359927733739
707.2,0.277436306635538,1.0390549882253,1.14397685607274
707.4,0.431152393976847,0.612091182072957,0.959891010125478
707.6,0.698092510859171,0.370663760503133,0.774464298089345
707.8,1.01247792498271,0.101423381169637,0.470240283807119
708,1.3479500319163,-0.144378544489543,0.233743358453115
708.2,1.66706280962626,-0.339928509394328,0.328599620660146
708.4,1.99445348040263,-0.510480763117473,0.245615650018056
708.6,2.28210072771708,-0.549980045954387,0.150450397332509
708.8,2.48396497027079,-0.497323872248332,-0.00494415680567428
709,2.55484395281474,-0.549980045954387,0.162365604241689
709.2,2.47213177935282,-0.510480763117473,0.174273181756337
709.4,2.15065198198954,-0.497323872248332,0.126604724725087
709.6,1.66706280962626,-0.457894207636516,0.0668913610776265
709.8,1.1869507338206,-0.274596096674601,0.0549332388242085
710,0.698092510859171,-0.13138950030009,-0.125121425787608
710.2,0.200245907465616,-0.0794857756296796,-0.0529492608706157
710.4,-0.29371256573995,-0.0665282026926679,0.0668913610776265
710.6,-0.650140712102255,0.0627499802907305,0.126604724725087
710.8,-0.876932093938192,0.255582927068074,0.0310007818539937
711,-1.26811690076192,0.44712555249532,0.0549332388242085
711.2,-1.69699091657003,0.62474071820577,-0.161281894842784
711.4,-2.04391188367208,0.750935672124227,-0.161281894842784
711.6,-2.30103678448995,0.637386439641316,-0.173349689642588
711.8,-2.4776811097463,0.574108241399129,-0.161281894842784
712,-2.59605402692159,0.485277293523152,-0.209573101202647
712.2,-2.63166136487325,0.345131038029988,-0.415825199286143
712.4,-2.59605402692159,0.370663760503133,-0.550160717169444
712.6,-2.4776811097463,0.242765544255574,-0.660586666266124
712.8,-2.32452578290304,0.217120288213094,-0.697494815985362
713,-2.137140223821,0.383422969182332,-0.783824276129405
713.2,-1.9509829972585,0.332352755864461,-0.944904636542002
713.4,-1.68550200208028,0.281193850835164,-0.957331966559092
713.6,-1.36336321576436,0.281193850835164,-0.870431255499522
713.8,-0.997750232060751,0.140042422612508,-1.06948406616847
714,-0.597044894536337,-0.0535753981272382,-1.03204376618067
714.2,-0.136760661443075,-0.248505474726359,-0.994662594000499
714.4,0.328769734064737,-0.602733494440715,-0.697494815985362
714.6,0.799091389338175,-0.801414372126262,-0.586915325323741
714.8,1.26137547747294,-1.06845271746318,-0.330704998175303
715,1.65486340777079,-1.2028883711497,0.0788456686337788
715.2,1.92204861895243,-1.22985160509745,0.340432811578115
715.4,2.12668233172099,-1.47362983385722,0.434901882012685
715.6,2.29401974932353,-1.51445472399394,0.470240283807119
715.8,2.43660550371806,-1.54170692125956,0.446687389214834
716,2.54303937212626,-1.51445472399394,0.458466220696767
716.2,2.56663899676005,-1.7880934492747,0.340432811578115
716.4,2.49579053179423,-1.99499499956767,0.30491416533788
716.6,2.38916211382548,-1.76061523119609,0.150450397332509
716.8,2.25824933306376,-1.58262622515361,-0.0649665109316508
717,2.05464177385966,-1.46003329912821,-0.342847179571788
717.2,1.72799687639872,-0.602733494440715,-0.391482662359874
717.4,1.32324414507548,0.0885354264577227,-0.391482662359874
717.6,0.912273457209269,0.396169780095418,-0.415825199286143
717.8,0.545879414240519,0.44712555249532,-0.113077472845713
718,0.290277531305948,1.06397259076436,-0.089012455145518
718.2,0.109920551935831,2.01878654797872,0.0907923467953999
718.4,-0.019636103947958,2.61400711377462,0.209968257745107
718.6,-0.0456208680470791,2.76667320569356,0.399519611199697
718.8,0.0192957426706943,2.75496017773946,0.505524326165517
719,-0.0326270554860439,2.99989616711934,0.493769336541494
719.2,-0.202049205144247,3.25742637952169,0.564231563409169
719.4,-0.438369700749716,3.17349922498067,0.704577136834462
719.6,-0.743300387700399,2.91849052747091,0.774464298089345
719.8,-1.10558504803975,2.71979057629903,0.878934551080068
720,-1.48630137189229,2.29418289502462,1.00603835662206
720.2,-1.81216234906515,1.76492035230001,1.0751034506162
720.4,-2.07883829816183,1.21300613721212,1.22409217437108
720.6,-2.25411123975118,0.763523219426473,1.5533282049497
720.8,-2.3951091264089,0.472565768559774,1.72194926818212
721,-2.4776811097463,0.204291461308797,1.688320804437
721.2,-2.5368041489919,-0.0794857756296796,1.5533282049497
721.4,-2.50131602032979,-0.392296673456828,1.5533282049497
721.6,-2.44226164563497,-0.536804081598918,1.39492480834325
721.8,-2.34803194745382,-0.748298527399699,1.0751034506162
722,-2.20726675732931,-1.08186233202616,0.844155002435048
722.2,-2.03227991803487,-1.31088626543681,0.399519611199697
722.4,-1.76604265912374,-1.36503493944804,0.174273181756337
722.6,-1.41793913586934,-1.47362983385722,-0.197497677008311
